,title,address,project_name,apartment_code,block_name,block_code,square,square_area,square_in_use,bedroom,wc,num_floor,floor,width,height,door,balcony,certificates,house_type,estate_type,office_type,apartment_type,status,furniture_status,estate_status,apartment_specific,house_specific,_type,price_m2,price_square
0,"Biệt thự đường Xô Viết Nghệ Tĩnh, 6,5x25m","Đường Xô Viết Nghệ Tĩnh, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],161 m²,230 m²,3 phòng,3 phòng,[],[],6.5 m,25 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất đầy đủ'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"93,17 triệu/m²",15 tỷ- 161 m2đ
1,"Biệt Thự cách Quận 1 5 phút,140 m2,4 tầng,27,7 tỷ","Đường Hoàng Hoa Thám, Phường 7, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],140 m²,140 m²,4 phòng,4 phòng,[],[],8 m,18 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất cao cấp'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"197,86 triệu/m²","27,7 tỷ- 140 m2đ"
2,Bán Nhà Thu Hồi Vốn Nhà 3L SHR Chợ Bùi Đình Tuý,Đường Bùi Đình Túy,[],[],[],[],[],50 m²,50 m²,4 phòng,3 phòng,[],[],4 m,13 m,['Nam'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"147,6 triệu/m²","7,38 tỷ- 50 m2đ"
3,Biệt thự 3 tầng Bùi Hữu Nghĩa 216m2 sang trọng,"282, Đường Bùi Hữu Nghĩa, Phường 2, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],118 m²,216 m²,6 phòng,3 phòng,3,[],8 m,16 m,['Đông Nam'],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất cao cấp'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"86,44 triệu/m²","10,2 tỷ- 118 m2đ"
4,"Kẹt tiền bán gấp MT 57 Tăng Bạt Hổ,Q.Bình Thạnh","Đường Tăng Bạt Hổ, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],420 m²,[],1 phòng,[],[],[],[],[],[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],[],[],"96,43 triệu/m²","40,5 tỷ- 420 m2đ"
5,Biệt thự mặt tiền Quận Bình Thạnh 462m²,"226 Bạch Đằng ,phường 24, quận Bình Thạnh ,tp Hồ Chí Minh, Phường 24, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],462 m²,[],8 phòng,6 phòng,3,[],[],[],['Nam'],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],['Nở hậu'],[],"99,57 triệu/m²",46 tỷ- 462 m2đ
6,"Cần Bán Gấp Nhà mt hẻm 200 Bình Lợi, dt 7x18m,13tỷ","200/173, Đường Bình Lợi, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],126 m²,[],5 phòng,5 phòng,[],[],7 m,18 m,['Đông Nam'],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"103,17 triệu/m²",13 tỷ- 126 m2đ
7,Nhà Bùi Đình Túy 68m2 Sổ Hồng Riêng Bình Thạnh,"Đường Bùi Đình Túy, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],68 m²,[],4 phòng,5 phòng,3,[],[],[],['Đông'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"117,65 triệu/m²",8 tỷ- 68 m2đ
8,BÁN NHÀ MỚI XÂY ĐƯỜNG NGUYỄN VĂN ĐẬU F11 QBT,"Đường Nguyễn Văn Đậu, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],62 m²,230 m²,5 phòng,6 phòng,4,[],4.1 m,18 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"133,87 triệu/m²","8,3 tỷ- 62 m2đ"
9,Biệt thự 179m2 đất đường 8m khu Nguyễn Hữu Cảnh,"Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],179 m²,[],5 phòng,6 phòng,[],[],10 m,20 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],[],[],"131,28 triệu/m²","23,5 tỷ- 179 m2đ"
10,Cần bán Villa sân vườn 313m2 gần MT Hoàng Hoa Thám,"Hoàng Hoa Thám, Phường 6, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],31 m²,750 m²,8 phòng,Nhiều hơn 6 phòng,3,[],14 m,25 m,['Tây Nam'],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],"870,97 triệu/m²",27 tỷ- 31 m2đ
11,"cần bán nhà phố đẹp ở đường XVNT,P26,Q Bình Thạnh","Đường Xô Viết Nghệ Tĩnh, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],72 m²,288 m²,8 phòng,Nhiều hơn 6 phòng,4,[],4 m,18 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Hoàn thiện cơ bản'],[],[],['Hẻm xe hơi'],[],"102,5 triệu/m²","7,38 tỷ- 72 m2đ"
12,1% Biệt thự Bùi Hữu Nghĩa 108m2 gần Q1,"Đường Bùi Hữu Nghĩa, Phường 2, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],108 m²,216 m²,6 phòng,6 phòng,[],[],6 m,16 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất cao cấp'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"94,44 triệu/m²","10,2 tỷ- 108 m2đ"
13,Biệt thự đẹp. 6x20. P13. Bình thạnh,"Đường Đặng Thùy Trâm, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],128 m²,[],5 phòng,6 phòng,[],[],6 m,20 m,['Đông'],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"117,19 triệu/m²",15 tỷ- 128 m2đ
14,BÁN BIỆT THỰ ĐƯỜNG ĐẶNG THÙY TRÂM( TRỤC 30) P13 BT,"Đường Đặng Thùy Trâm, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],200 m²,200 m²,6 phòng,Nhiều hơn 6 phòng,3,[],10 m,20 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Nội thất cao cấp'],[],[],['Hẻm xe hơi'],[],90 triệu/m²,18 tỷ- 200 m2đ
15,Bán Gấp Căn Biệt Thự 88m2 Nguyễn Văn Đậu Giá 5ty4,"Đường Nguyễn Văn Đậu, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],88 m²,[],3 phòng,4 phòng,[],[],8 m,11 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],['Nở hậu'],[],"61,36 triệu/m²","5,4 tỷ
GIÁ TỐT
- 88 m2đ"
16,Nhà Đẹp Bình Thạnh 2PN DT 54m2 hẻm Xe Hơi Giá 3ty9,"Đường Phạm Văn Đồng, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],54 m²,108 m²,2 phòng,3 phòng,[],[],4.9 m,11 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],[],[],"72,22 triệu/m²","3,9 tỷ
GIÁ TỐT
- 54 m2đ"
17,NHÀ 3 LẦU HẺM ÔTÔ HOÀNG HOA THÁM BÌNH THẠNH 250m2,"153, Đường Hoàng Hoa Thám, Phường 6, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],65 m²,250 m²,4 phòng,4 phòng,3,[],4 m,15 m,['Đông Nam'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],['Nội thất đầy đủ'],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"126,15 triệu/m²","8,2 tỷ- 65 m2đ"
18,Bán Nhà 3L Sân thượng Đường 10m vĩa hè 4x20 CN,"Cư xá Nguyên Hồng, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],80 m²,[],4 phòng,3 phòng,[],[],4 m,20 m,[],[],[],['Nhà phố liền kề'],[],[],[],[],[],[],[],[],[],"143,75 triệu/m²","11,5 tỷ- 80 m2đ"
19,BÁN BIỆT THỰ TT B. THẠNH GIÁ RẼ CÓ HẦM GARA XE HƠI,"Đường Chu Văn An, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],135 m²,105 m²,5 phòng,5 phòng,[],[],7 m,18.5 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],['Nở hậu'],[],"57,78 triệu/m²","7,8 tỷ- 135 m2đ"
20,BÁN BIỆT THỰ TT B. THẠNH GIÁ RẼ CÓ HẦM GARA XE HƠI,"Đường Chu Văn An, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],135 m²,105 m²,5 phòng,5 phòng,[],[],7 m,18.5 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],['Nở hậu'],[],"57,78 triệu/m²","7,8 tỷ- 135 m2đ"
21,Bán nhà biệt thự mini hẻm Nơ Trang Long giá rẻ,"482//, Đường Nơ Trang Long, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],63 m²,150 m²,4 phòng,3 phòng,3,[],6.3 m,10 m,['Đông Nam'],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Hoàn thiện cơ bản'],[],[],['Nở hậu'],[],"100,79 triệu/m²","6,35 tỷ- 63 m2đ"
22,"Biệt thự Điện Biên Phủ, 2 tầng mới đẹp","Điện Biên Phủ, Phường 15, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],92 m²,[],3 phòng,4 phòng,[],[],7 m,14 m,[],[],[],['Nhà biệt thự'],[],[],[],[],[],[],[],[],[],"127,17 triệu/m²","11,7 tỷ- 92 m2đ"
23,"Biệt thự Bạch Đằng, 108m2, 3 tầng mới đẹp","Đường Bạch Đằng, Phường 2, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],108 m²,[],6 phòng,3 phòng,3,[],8 m,16 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"94,44 triệu/m²","10,2 tỷ- 108 m2đ"
24,Vinhomes Central Park 275m² 4 tầng 5pn,"208, 208 Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh",Vinhomes Central Park,[],[],[],[],278 m²,500 m²,5 phòng,6 phòng,4,[],17 m,16.5 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],['Hoàn thiện cơ bản'],[],[],[],[],"363,31 triệu/m²",101 tỷ- 278 m2đ
25,nhà gác suốt 56m2đuong bạch đằng p 6 Bình thạnh,"182/112g, Đường Bạch Đằng, Phường 6, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],28 m²,56 m²,2 phòng,1 phòng,[],[],4 m,7 m,['Đông Nam'],[],['Giấy tờ khác'],['Nhà phố liền kề'],[],[],[],[],[],[],[],[],[],"48,21 triệu/m²","1,35 tỷ- 28 m2đ"
26,"Gấp! cần bán nhà biệt thự Bình Thạnh,112m2","Đường Đặng Thùy Trâm, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],112 m²,[],5 phòng,[],[],[],[],[],[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"40,18 triệu/m²","4,5 tỷ- 112 m2đ"
27,Nhà 96/36A Đặng Thùy Trâm. Dt 5x24m. trệt 2 lầu ST,"96/36A, Đường Đặng Thùy Trâm, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],120 m²,[],5 phòng,6 phòng,[],[],5 m,24 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"82,5 triệu/m²","9,9 tỷ- 120 m2đ"
28,Nhà vila hẻm đường Điện Biên Phủ. Bình Thạnh,"Đường Điện Biên Phủ, Phường 15, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],91 m²,500 m²,8 phòng,Nhiều hơn 6 phòng,3,[],3.51 m,22.63 m,['Đông Nam'],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],"['Hẻm xe hơi', 'Nở hậu']",[],"104,4 triệu/m²","9,5 tỷ- 91 m2đ"
29,Nhà bán chính chủ,"217/9/11A1, Đường Bùi Đình Túy, Phường 24, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],50 m²,203 m²,5 phòng,3 phòng,4,[],4.5 m,12 m,['Đông Nam'],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],156 triệu/m²,"7,8 tỷ- 50 m2đ"
30,Biệt thự mini cư xá Thanh Đa P27 Q.Bình Thạnh,"Đường số 12A, Phường 27, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],120 m²,[],4 phòng,[],[],[],6 m,20 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],[],[],39 triệu/m²,"4,68 tỷ- 120 m2đ"
31,Nhà Bùi Đình Túy Bình Thạnh 60m2 Sổ Hồng Riêng,"Đường Bùi Đình Túy, Phường 24, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],60 m²,[],4 phòng,4 phòng,3,[],[],[],[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"113,33 triệu/m²","6,8 tỷ- 60 m2đ"
32,Vinhomes Central Park 326m² 1 hầm 4 lầu,"208, 208 Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh",Vinhomes Central Park,[],[],[],[],326 m²,500 m²,5 phòng,5 phòng,5,[],17 m,19.2 m,[],[],['Đang chờ sổ'],['Nhà biệt thự'],[],[],[],[],['Bàn giao thô'],[],[],[],[],"294,48 triệu/m²",96 tỷ- 326 m2đ
33,Nhà đẹp,"Đường Nơ Trang Long, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],7.8 m²,7.8 m²,3 phòng,2 phòng,[],[],3.1 m,2.6 m,[],[],['Đã có sổ'],['Nhà phố liền kề'],[],[],[],[],[],[],[],[],[],"364,29 triệu/m²","2,55 tỷ- 7.8 m2đ"
34,"Bán nhà HXH XVNT, Bình Thạnh, 84m2, 4 Lầu, 12.8 TỶ","Đường Xô Viết Nghệ Tĩnh, Phường 24, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],84 m²,280 m²,5 phòng,6 phòng,[],[],6 m,14 m,[],[],[],['Nhà biệt thự'],[],[],[],[],[],[],[],[],[],"152,38 triệu/m²","12,8 tỷ- 84 m2đ"
35,"Bán Biệt Thự Mini Nơ Trang Long, Bình Thạnh, 16 tỷ","Đường Nơ Trang Long, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",[],[],[],[],[],114 m²,300 m²,4 phòng,4 phòng,[],[],7.5 m,16 m,[],[],['Đã có sổ'],['Nhà biệt thự'],[],[],[],[],[],[],[],['Hẻm xe hơi'],[],"140,35 triệu/m²",16 tỷ- 114 m2đ
